,comname,sciname,entity_id,pubdate,listing_st,url_img
78,Sierra Nevada bighorn sheep,Ovis canadensis sierrae,57,20080805,Endangered,https://upload.wikimedia.org/wikipedia/commons/0/05/Sierra_Nevada_bighorn_ewes_and_lambs.jpg
79,Jaguar,Panthera onca,18,20210722,Endangered,https://upload.wikimedia.org/wikipedia/commons/0/0a/Standing_jaguar.jpg
80,Fender's blue butterfly,Icaricia icarioides fenderi,450,20061031,Threatened,https://upload.wikimedia.org/wikipedia/commons/8/83/Fenders_blue_butterfly_Oregon.jpg
82,Santa Ana sucker,Catostomus santaanae,312,20101214,Threatened,https://upload.wikimedia.org/wikipedia/commons/8/8e/Catostomus_santaanae.jpg
84,Carolina heelsplitter,Lasmigona decorata,370,20020702,Endangered,https://upload.wikimedia.org/wikipedia/commons/0/0b/Lasmigona_decorata.jpg
86,Oyster mussel,Epioblasma capsaeformis,358,20040831,Endangered,https://upload.wikimedia.org/wikipedia/commons/d/dd/Epioblasma_capsaeformis.jpg
89,Salamander mussel,Simpsonaias ambigua,8134,20230822,Proposed Endangered,https://upload.wikimedia.org/wikipedia/commons/1/14/Naturalis_Biodiversity_Center_-_ZMA.MOLL.418104_-_Simpsonaias_ambigua_%28Say%2C_1825%29_-_Unionidae_-_Mollusc_shell.jpeg
92,Steller's Eider,Polysticta stelleri,147,20010202,Threatened,https://upload.wikimedia.org/wikipedia/commons/5/51/Steller%27s_Eider_%28Polysticta_stelleri%29_%2813667966664%29.jpg
99,Austin blind Salamander,Eurycea waterlooensis,6346,20130820,Endangered,https://upload.wikimedia.org/wikipedia/commons/3/32/Eurycea_waterlooensis.png
104,`Ahinahina,Argyroxiphium sandwicense ssp. macrocephalum,635,20160330,Threatened,https://upload.wikimedia.org/wikipedia/commons/e/e1/Haleakalasilversword.jpg
106,No common name,Xylosma crenatum,1016,20030227,Endangered,https://upload.wikimedia.org/wikipedia/commons/3/3e/Xylosma_crenatum_%288403048555%29.jpg
109,Frecklebelly madtom,Noturus munitus,11662,20230302,Threatened,https://upload.wikimedia.org/wikipedia/commons/f/f0/Noturus_munitus.jpg
115,Desert pupfish,Cyprinodon macularius,275,19860331,Endangered,https://upload.wikimedia.org/wikipedia/commons/3/31/Male_female_mecularius.jpg
133,Carolina madtom,Noturus furiosus,5288,20210609,Endangered,https://upload.wikimedia.org/wikipedia/commons/5/5f/Carolina_Madtom_chilling.jpg
137,Trispot darter,Etheostoma trisella,3069,20200930,Threatened,https://upload.wikimedia.org/wikipedia/commons/2/2e/Etheostoma_trisella.jpg
140,Bull Trout,Salvelinus confluentus,301,20101018,Threatened,https://upload.wikimedia.org/wikipedia/commons/8/82/Bull_trout_fish_salvelinus_confluentus.jpg
147,Neuse River waterdog,Necturus lewisi,2932,20210609,Threatened,https://upload.wikimedia.org/wikipedia/commons/7/71/Necturus_lewisi.jpg
148,Humpback chub,Gila cypha,209,19940321,Threatened,https://upload.wikimedia.org/wikipedia/commons/4/4e/Humpback_chub_-_upper_Colorado_River_cropped.jpg
161,Bear Valley sandwort,Arenaria ursina,506,20071226,Threatened,https://upload.wikimedia.org/wikipedia/commons/e/e7/Arenariaursina.jpg
168,Florida bonneted bat,Eumops floridanus,9725,20221122,Endangered,https://upload.wikimedia.org/wikipedia/commons/f/f8/Florida_bonneted_bat_%28Eumops_floridanus%29.jpg
171,Plymouth Redbelly Turtle = Plymouth Redbelly Cooter,Pseudemys rubriventris bangsi,170,19800402,Endangered,https://upload.wikimedia.org/wikipedia/commons/3/3a/Northern_red-bellied_cooter_in_Long_Pond.jpg
174,No common name,Vigna o-wahuensis,862,20160330,Endangered,https://upload.wikimedia.org/wikipedia/commons/9/99/Starr_050407-6232_Vigna_o-wahuensis.jpg
182,Sierra Nevada Yellow-legged Frog,Rana sierrae,10517,20160826,Endangered,https://upload.wikimedia.org/wikipedia/commons/d/de/Rana_sierrae01.jpg
191,Yadon's piperia,Piperia yadonii,1171,20071024,Endangered,https://upload.wikimedia.org/wikipedia/commons/9/95/Platanthera_yadonii_146515368.jpg
239,No common name,Kadua st.-johnii,729,20030227,Endangered,https://upload.wikimedia.org/wikipedia/commons/0/01/Kadua_st.-johnii_%285490647063%29.jpg
241,Relictual slender salamander,Batrachoseps relictus,5688,20231121,Proposed Endangered,https://upload.wikimedia.org/wikipedia/commons/b/bb/Batrachoseps_relictus.jpg
254,Colusa grass,Neostapfia colusana,580,20060210,Threatened,https://upload.wikimedia.org/wikipedia/commons/4/44/Neostapfia.jpg
292,Spruce-fir moss spider,Microhexura montivaga,468,20010706,Endangered,https://upload.wikimedia.org/wikipedia/commons/3/39/Spruce_Fir_Moss_Spider.jpg
296,Comal Springs dryopid beetle,Stygoparnus comalensis,454,20131023,Endangered,https://upload.wikimedia.org/wikipedia/commons/b/ba/Stygoparnus_comalensis.jpg
355,Braun's rock-cress,Arabis perstellata,630,20040603,Endangered,https://upload.wikimedia.org/wikipedia/commons/e/eb/Boechera_perstellata.jpg
371,June sucker,Chasmistes liorus,287,19860331,Threatened,https://upload.wikimedia.org/wikipedia/commons/2/27/FMIB_34234_Sucker_%28Chasmistes_horus%29.jpeg
372,Hermes copper butterfly,Lycaena hermes,1984,20211221,Threatened,https://upload.wikimedia.org/wikipedia/commons/1/1b/Hermes_copper_butterfly_%285559012176%29.jpg
396,Desert tortoise,Gopherus agassizii,185,19940208,Threatened,https://upload.wikimedia.org/wikipedia/commons/f/f4/Gopherus_agassizii.jpg
397,Northern Sea Otter,Enhydra lutris kenyoni,5232,20091008,Threatened,https://upload.wikimedia.org/wikipedia/commons/0/02/Sea_Otter_%28Enhydra_lutris%29_%2825169790524%29_crop.jpg
402,California tiger Salamander,Ambystoma californiense,4773,20050823,Threatened,https://upload.wikimedia.org/wikipedia/commons/c/ce/California_Tiger_Salamander.jpg
471,Heliotrope milk-vetch,Astragalus montii,888,19871106,Threatened,https://upload.wikimedia.org/wikipedia/commons/9/95/Astragalus_montii.jpg
480,Morro shoulderband (=Banded dune) snail,Helminthoglypta walkeriana,387,20010207,Threatened,https://upload.wikimedia.org/wikipedia/commons/6/65/Banded_Dune_Snail_%282647329862%29.jpg
481,Cape Sable seaside sparrow,Ammospiza maritima mirabilis,85,20071106,Endangered,https://upload.wikimedia.org/wikipedia/commons/0/07/CSSS1.jpg
489,"Pacific Marten, Coastal Distinct Population Segment",Martes caurina,10078,20220930,Threatened,https://upload.wikimedia.org/wikipedia/commons/1/1a/Pacific_marten_Martes_caurina.jpg
496,Spectacled eider,Somateria fischeri,146,20010206,Threatened,https://upload.wikimedia.org/wikipedia/commons/f/f8/Spectacled_Eider_pair.jpg
504,Yosemite toad,Anaxyrus canorus,1707,20160826,Threatened,https://upload.wikimedia.org/wikipedia/commons/b/b8/Anaxyrus_canorus_2.jpg
505,Kincaid's Lupine,Lupinus sulphureus ssp. kincaidii,1126,20061031,Threatened,https://upload.wikimedia.org/wikipedia/commons/8/8a/Threatened_kincaids_lupine_flower.jpg
511,No common name,Schiedea trinervis,623,20120918,Endangered,https://upload.wikimedia.org/wikipedia/commons/2/26/Schiedea_trinervis_%285311705034%29.jpg
512,No common name,Schiedea obovata,622,20120918,Endangered,https://upload.wikimedia.org/wikipedia/commons/0/06/Schiedea_obovata_%286220849808%29.jpg
517,diamond Darter,Crystallaria cincotta,6557,20130822,Endangered,https://upload.wikimedia.org/wikipedia/commons/5/55/Diamond_darter_%28Crystallaria_cincotta%29.jpg
530,Vermilion darter,Etheostoma chermocki,316,20101207,Endangered,https://upload.wikimedia.org/wikipedia/commons/f/f8/Etheostoma_chermocki.jpg
531,Morro Bay kangaroo rat,Dipodomys heermanni morroensis,16,19770922,Endangered,https://upload.wikimedia.org/wikipedia/commons/b/be/Federally_endangered_Morro_bay_kangaroo_rat%2C_last_documented_in_the_wild_in_1986._%2831045316021%29.jpg
532,Mount Graham red squirrel,Tamiasciurus fremonti grahamensis,43,19900105,Endangered,https://upload.wikimedia.org/wikipedia/commons/3/38/Mt._Graham_Red_Squirrel.jpg
533,Tidewater goby,Eucyclogobius newberryi,306,20130206,Endangered,https://upload.wikimedia.org/wikipedia/commons/5/59/Tidewater_Goby_-_USFWS4.jpg
535,dusky gopher frog,Rana sevosa,208,20120612,Endangered,https://upload.wikimedia.org/wikipedia/commons/0/0e/Dusky_Gopher_Frog-a.jpg
538,Polar bear,Ursus maritimus,8861,20101207,Threatened,https://upload.wikimedia.org/wikipedia/commons/6/66/Polar_Bear_-_Alaska_%28cropped%29.jpg
541,Alabama beach mouse,Peromyscus polionotus ammobates,41,20070130,Endangered,https://upload.wikimedia.org/wikipedia/commons/3/3f/ALbeachmouse1.jpg
542,Buena Vista Lake ornate Shrew,Sorex ornatus relictus,58,20130702,Endangered,https://upload.wikimedia.org/wikipedia/commons/0/03/Sorex_ornatus_relictus.jpg
543,Yellow-shouldered blackbird,Agelaius xanthomus,117,19770922,Endangered,https://upload.wikimedia.org/wikipedia/commons/2/25/Yellow-shouldered_Blackbird_5_Mike_Morel.jpg
546,Coastal California gnatcatcher,Polioptila californica californica,145,20071219,Threatened,https://upload.wikimedia.org/wikipedia/commons/b/bc/Coastal_California_Gnatcatcher_%285912318877%29.jpg
547,Palila (honeycreeper),Loxioides bailleui,79,19770922,Endangered,https://upload.wikimedia.org/wikipedia/commons/8/84/LoxioidesBailleuiKeulemans.jpg
550,Mexican spotted owl,Strix occidentalis lucida,129,20040831,Threatened,https://upload.wikimedia.org/wikipedia/commons/d/d0/Northern_Spotted_Owl.USFWS.jpg
551,Northern spotted owl,Strix occidentalis caurina,142,20211110,Threatened,https://upload.wikimedia.org/wikipedia/commons/d/d0/Northern_Spotted_Owl.USFWS.jpg
552,Golden coqui,Eleutherodactylus jasperi,193,19771111,Threatened,https://upload.wikimedia.org/wikipedia/commons/1/13/Eleutherodactylus_jasperi.jpg
553,Coachella Valley fringe-toed lizard,Uma inornata,175,19800925,Threatened,https://upload.wikimedia.org/wikipedia/commons/b/bd/Coachella_Valley_Fringe-toed_Lizard.JPG
555,San Marcos salamander,Eurycea nana,194,19800714,Threatened,https://upload.wikimedia.org/wikipedia/commons/b/bf/San_Marcos_salamander.jpg
556,Guajon,Eleutherodactylus cooki,196,20071023,Threatened,https://upload.wikimedia.org/wikipedia/commons/9/9f/Female_guajon_frog_on_tree.jpg
557,Slender chub,Erimystax cahni,246,19770922,Threatened,https://upload.wikimedia.org/wikipedia/commons/9/9e/Slender_chub_fish_erimystax_cahni.jpg
558,Silver rice rat,Oryzomys palustris natator,29,19930831,Endangered,https://upload.wikimedia.org/wikipedia/commons/d/d1/Oryzomys_palustris_in_vegetation.jpg
559,Beautiful shiner,Cyprinella formosa,276,19840831,Threatened,https://upload.wikimedia.org/wikipedia/commons/e/e1/Beautiful_Shiner%2C_juvenile%2C_Cyprinella_formosa.jpg
562,Salt Creek Tiger beetle,Cicindela nevadica lincolniana,4910,20140506,Endangered,https://upload.wikimedia.org/wikipedia/commons/a/a1/Salt_Creek_Tiger_Beetle.jpg
565,Palos Verdes blue butterfly,Glaucopsyche lygdamus palosverdesensis,432,19800702,Endangered,https://upload.wikimedia.org/wikipedia/en/5/56/PVBlue.jpg
567,Bay checkerspot butterfly,Euphydryas editha bayensis,438,20080826,Threatened,https://upload.wikimedia.org/wikipedia/commons/9/9c/Bay_Checkerspot_f1.JPG
568,Conservancy fairy shrimp,Branchinecta conservatio,490,20060210,Endangered,https://upload.wikimedia.org/wikipedia/commons/c/c5/Branchinecta_conservatio.jpg
573,Kentucky cave shrimp,Palaemonias ganteri,482,19831012,Endangered,https://upload.wikimedia.org/wikipedia/commons/8/83/Kentucky_cave_shrimp_%28Palaemonias_ganteri%29_%2812434722624%29.jpg
576,California red-legged frog,Rana draytonii,205,20100317,Threatened,https://upload.wikimedia.org/wikipedia/commons/7/71/Rana_aurora.jpg
578,Indiana bat,Myotis sodalis,1,19770922,Endangered,https://upload.wikimedia.org/wikipedia/commons/b/bf/Indiana_Bat_FWS.jpg
579,Appalachian elktoe,Alasmidonta raveneliana,354,20020927,Endangered,https://upload.wikimedia.org/wikipedia/commons/f/f0/Alasmidonta_raveneliana.jpg
580,Newcomb's snail,Erinna newcombi,418,20020820,Threatened,https://upload.wikimedia.org/wikipedia/commons/5/51/Erinna_newcombi_color.png
584,Hiko White River springfish,Crenichthys baileyi grandis,283,19850927,Endangered,https://upload.wikimedia.org/wikipedia/commons/7/74/Crenichthys_baileyi_moapae.jpg
586,Yellowcheek Darter,Etheostoma moorei,6662,20121016,Endangered,https://upload.wikimedia.org/wikipedia/commons/1/12/Yellowcheek_darter.jpg
590,Kauai cave wolf or pe'e pe'e maka 'ole spider,Adelocosa anops,463,20030409,Endangered,https://upload.wikimedia.org/wikipedia/commons/c/c5/Adelocosa_anops.jpg
591,Oahu elepaio,Chasiempis ibidis,150,20011210,Endangered,https://upload.wikimedia.org/wikipedia/commons/e/e1/Oahu_Elepaio_%289-19-2017%29_Aiea_Loop_trail%2C_Keaiwa_Heiau_recreation_area%2C_Honolulu_co%2C_Hawaii_-02_%2823717988448%29.jpg
592,Casey's June Beetle,Dinacoma caseyi,8503,20110922,Endangered,https://upload.wikimedia.org/wikipedia/commons/e/e5/Casey%27s_June_Beetle.jpg
593,Akekee,Loxops caeruleirostris,6522,20100413,Endangered,https://upload.wikimedia.org/wikipedia/commons/5/5a/Loxops_caeruleirostris1.jpg
594,Akikiki,Oreomystis bairdi,4136,20100413,Endangered,https://upload.wikimedia.org/wikipedia/commons/2/24/Oreomystis_bairdi.jpg
595,Gunnison sage-grouse,Centrocercus minimus,4064,20141120,Threatened,https://upload.wikimedia.org/wikipedia/commons/0/04/Centrocercus_minimus.jpg
596,Valley elderberry longhorn beetle,Desmocerus californicus dimorphus,436,19800808,Threatened,https://upload.wikimedia.org/wikipedia/commons/7/7c/Valley_elderberry_longhorn_beetle_FWS.jpg
598,Conasauga logperch,Percina jenkinsi,294,19850805,Endangered,https://upload.wikimedia.org/wikipedia/commons/f/fb/Percina_jenkinsi.jpg
600,Fresno kangaroo rat,Dipodomys nitratoides exilis,37,19850130,Endangered,https://upload.wikimedia.org/wikipedia/commons/1/12/Dipodomys_nitratoides.jpg
601,Houston toad,Bufo houstonensis,190,19780131,Endangered,https://upload.wikimedia.org/wikipedia/commons/d/da/Houston_toad.jpg
603,Bonytail,Gila elegans,249,19940321,Endangered,https://upload.wikimedia.org/wikipedia/commons/3/3b/Bonytail_chub_or_bonytail%2C_Gila_elegans.jpg
604,Arroyo (=arroyo southwestern) toad,Anaxyrus californicus,204,20110209,Endangered,https://upload.wikimedia.org/wikipedia/commons/d/dc/Arroyo_toad.jpg
605,Sonora chub,Gila ditaenia,255,19860430,Threatened,https://upload.wikimedia.org/wikipedia/commons/7/7d/Sonora_Chub_imported_from_iNaturalist_photo_32212215_on_21_April_2022.jpg
607,Fountain darter,Etheostoma fonticola,228,19800714,Endangered,https://upload.wikimedia.org/wikipedia/commons/2/21/Etheostoma_fonticola.jpg
608,Yaqui chub,Gila purpurea,263,19840831,Endangered,https://upload.wikimedia.org/wikipedia/commons/b/b7/Gila_purpurea.jpg
610,Amber darter,Percina antesella,293,19850805,Endangered,https://upload.wikimedia.org/wikipedia/commons/1/17/Ambdrtr.jpg
611,Leopard darter,Percina pantherina,238,19780127,Threatened,https://upload.wikimedia.org/wikipedia/commons/5/5d/Percina_pantherina.jpg
613,Devils River minnow,Dionda diaboli,272,20080812,Threatened,https://upload.wikimedia.org/wikipedia/commons/6/66/Dionda_diaboli.jpg
615,Lost River sucker,Deltistes luxatus,288,20121211,Endangered,https://upload.wikimedia.org/wikipedia/commons/8/8c/Delistes_luxatus_usgs.jpg
616,Slackwater darter,Etheostoma boschungi,239,19770922,Threatened,https://upload.wikimedia.org/wikipedia/commons/b/b2/Etheostoma_boschungi.jpg
617,Cape Fear shiner,Notropis mekistocholas,242,19870925,Endangered,https://upload.wikimedia.org/wikipedia/commons/4/4c/Capefear1.jpg
620,Delta smelt,Hypomesus transpacificus,305,19941219,Threatened,https://upload.wikimedia.org/wikipedia/commons/3/3a/Hypomesus_transpacificus.jpg
623,Shortnose Sucker,Chasmistes brevirostris,291,20121211,Endangered,https://upload.wikimedia.org/wikipedia/commons/1/12/Shortnose_sucker_usgs.jpg
626,St. Croix ground lizard,Ameiva polops,163,19770922,Endangered,https://upload.wikimedia.org/wikipedia/commons/b/bb/Ameiva_polops_St._Croix_Ground_Lizard.JPG
628,White River springfish,Crenichthys baileyi baileyi,285,19850927,Endangered,https://upload.wikimedia.org/wikipedia/commons/7/74/Crenichthys_baileyi_moapae.jpg
630,Mona ground Iguana,Cyclura stejnegeri,165,19780203,Threatened,https://upload.wikimedia.org/wikipedia/commons/a/a4/Iguana_sitting_down_looking_to_the_left.jpg
637,Atlantic salmon,Salmo salar,10077,20090619,Endangered,https://upload.wikimedia.org/wikipedia/commons/3/39/Salmo_salar.jpg
643,Spring pygmy sunfish,Elassoma alabamae,7332,20190530,Threatened,https://upload.wikimedia.org/wikipedia/commons/9/90/Male_spring_pygmy_Sunfish.jpg
647,Jollyville Plateau Salamander,Eurycea tonkawae,8231,20130820,Threatened,https://upload.wikimedia.org/wikipedia/commons/a/ad/Eurycea_tonkawae_IMG_3631.jpg
648,Spring-loving centaury,Centaurium namophilum,660,19850520,Threatened,https://upload.wikimedia.org/wikipedia/commons/b/ba/Centaurium_namophilum.jpg
651,Georgetown Salamander,Eurycea naufragia,5434,20210818,Threatened,https://upload.wikimedia.org/wikipedia/commons/9/9c/Georgetown_salamander.jpg
657,Preble's meadow jumping mouse,Zapus hudsonius preblei,52,20101215,Threatened,https://upload.wikimedia.org/wikipedia/commons/d/d3/Zapus_hudsonius.jpg
668,Elfin-woods warbler,Setophaga angelae,4237,20200630,Threatened,https://upload.wikimedia.org/wikipedia/commons/2/2c/Elfin-woods_warbler_perched_on_a_tree_branch.jpg
671,Yellow-billed Cuckoo,Coccyzus americanus,6901,20210421,Threatened,https://upload.wikimedia.org/wikipedia/commons/3/34/Coccyzus-americanus-001.jpg
673,Alabama cavefish,Speoplatyrhinus poulsoni,236,19770909,Endangered,https://upload.wikimedia.org/wikipedia/commons/9/9e/AlabamaCavefish.jpg
698,Hine's emerald dragonfly,Somatochlora hineana,445,20100423,Endangered,https://upload.wikimedia.org/wikipedia/commons/8/8a/Hine%27s_Emerald_Dragonfly_%2841092633930%29.jpg
701,Purple amole,Chlorogalum purpureum,528,20021024,Threatened,https://upload.wikimedia.org/wikipedia/commons/9/9c/Chlorogalum_purpureum_var_purpureum_1.jpg
703,Yellow lance,Elliptio lanceolata,4074,20210408,Threatened,https://upload.wikimedia.org/wikipedia/commons/6/6d/Naturalis_Biodiversity_Center_-_ZMA.MOLL.418089_-_Elliptio_lanceolata_%28Lea%2C_1828%29_-_Unionidae_-_Mollusc_shell.jpeg
704,Louisiana pinesnake,Pituophis ruthveni,3722,20221006,Threatened,https://upload.wikimedia.org/wikipedia/commons/9/99/PinesnakeSaenz_nr-page.jpg
707,`I`iwi,Drepanis coccinea,10073,20221228,Threatened,https://upload.wikimedia.org/wikipedia/commons/1/15/Vestiaria_coccinea_-Hawaii_-adult-8_%283%29.jpg
729,Fisher,Pekania pennanti,11653,20221107,Endangered,https://upload.wikimedia.org/wikipedia/commons/9/98/Fisher_cat_tree.jpg
730,Niangua darter,Etheostoma nianguae,257,19850612,Threatened,https://upload.wikimedia.org/wikipedia/commons/f/f9/Etheostoma_nianguae.jpg
731,Piping Plover,Charadrius melodus,130,20010507,Endangered,https://upload.wikimedia.org/wikipedia/commons/0/0b/Charadrius-melodus-004_edit.jpg
733,American crocodile,Crocodylus acutus,176,19770922,Threatened,https://upload.wikimedia.org/wikipedia/commons/f/f2/Crocodylus_acutus_mexico_02-edit1.jpg
740,`Akohekohe (crested honeycreeper),Palmeria dolei,74,20160330,Endangered,https://upload.wikimedia.org/wikipedia/commons/b/be/%C4%80kohekohe_%28crested_honeycreeper%29%2C_Haleakala_National_Park_%28bf2b729b-af5a-44ea-b068-c09e166e4bda%29.jpg
742,West Indian Manatee,Trichechus manatus,7,19770922,Threatened,https://upload.wikimedia.org/wikipedia/commons/9/99/Manatee_with_calf.PD_-_colour_corrected.jpg
743,Loggerhead sea turtle,Caretta caretta,9707,20140710,Threatened,https://upload.wikimedia.org/wikipedia/commons/8/8e/Loggerhead_sea_turtle.jpg
747,Leatherback sea turtle,Dermochelys coriacea,154,19790323,Endangered,https://upload.wikimedia.org/wikipedia/commons/f/fc/Leatherback_sea_turtle_Tinglar%2C_USVI_%285839996547%29.jpg
748,Hawksbill sea turtle,Eretmochelys imbricata,153,19980902,Endangered,https://upload.wikimedia.org/wikipedia/commons/b/b0/Eretmochelys-imbricata-K%C3%A9lonia-2.JPG
750,St. Andrew beach mouse,Peromyscus polionotus peninsularis,54,20061012,Endangered,https://upload.wikimedia.org/wikipedia/commons/d/df/Peromyscus_polionotus_ammobates.jpg
751,Perdido Key beach mouse,Peromyscus polionotus trissyllepsis,35,20061012,Endangered,https://upload.wikimedia.org/wikipedia/commons/8/84/Peromyscus_polionotus_trissyllepsis.jpg
753,Frosted Flatwoods salamander,Ambystoma cingulatum,199,20090210,Threatened,https://upload.wikimedia.org/wikipedia/commons/4/4b/Ambystoma_cingulatum_USGS.jpg
758,Uhiuhi,Mezoneuron kavaiense,518,20180821,Endangered,https://upload.wikimedia.org/wikipedia/commons/2/2b/Mezonevron_kauaiense_%284822011505%29_%282%29.jpg
763,Whooping crane,Grus americana,67,19780515,Endangered,https://upload.wikimedia.org/wikipedia/commons/7/7f/Grus_americana_Sasata.jpg
774,Gray wolf,Canis lupus,12,19780309,Threatened,https://upload.wikimedia.org/wikipedia/commons/6/68/Eurasian_wolf_2.jpg
775,Guam kingfisher,Todiramphus cinnamominus,119,20041028,Endangered,https://upload.wikimedia.org/wikipedia/commons/e/e2/Micronesian_Kingfisher_1644.jpg
